name,file,height_cm,palette1,palette2,palette3,palette4,palette5
Agrostis Grass- Purple,agrostis-grass-purple.jpg,50,#cfcaca,#b59fc2,#9f73b7,#8e4bb4,#361f43
Amarellino- Soft Pink,amarellino-soft-pink.jpg,55,#f4baaf,#f1a398,#cca896,#d3927e,#694b45
Beach Grass,beach-grass.jpg,120,#e4e1e3,#d1c8c5,#b9b2ad,#877b68,#1d1c1b
Banksia Protea,banksia-protea.jpg,25,#d4c39a,#cd9868,#ae9366,#986944,#23201f
Bougainvillea- Pink,bougainvillea-pink.jpg,50,#eccccf,#ecaab1,#ec97a0,#dc7c85,#3a1e20
Brunia,brunia.jpg,50,#c9bbb2,#b09f91,#8f7863,#644c3a,#1e1813
Buplureum XL,buplureum-xl.jpg,50,#b09f8f,#8a7167,#755649,#763e2f,#261d1a
Buplureum,buplureum.jpg,50,#decdbf,#d3b395,#c89e74,#b78452,#49331f
Button Batao -White,button-batao-white.jpg,50,#ecd6c5,#e8c7ae,#e0ba9f,#cea287,#684c3c
Cedar Roses- Natural,cedar-roses-natural.jpg,35,#e1a488,#c98161,#a66445,#7d3b1a,#2c150c
Celosia- Buff,celosia-buff.jpg,50,#c1ae86,#b29b6b,#a38a57,#8c723f,#4e4129
Celosia- Fuschia,celosia-fuschia.jpg,50,#a8587e,#9e3a6b,#90275a,#861349,#490725
Cotton,cotton.jpg,60,#e4dbd7,#a69c97,#251c1a,#001b1a,#000000
Barley,barley.jpg,50,#c7c0ab,#afa280,#999279,#797258,#26231c
Dried Bouquet- Bleached,dried-bouquet-bleached.jpg,50,#eae1d0,#e4c89f,#cdb087,#b68e5c,#8a673a
Dried Bouquet- Bright Pink,dried-bouquet-bright-pink.jpg,50,#ead3ba,#e3b7a4,#d59780,#ba7b51,#924b36
Dried Bouquet- Bright Red,dried-bouquet-bright-red.jpg,50,#f1e2cf,#d5bb9b,#b3885c,#b33122,#641b11
Dried Bouquet Case- Light Pink,dried-bouquet-case-light-pink.jpg,50,#f0d2c4,#d8b499,#c78962,#ab8152,#8a5633
Dried Bouquet- Naturals,dried-bouquet-naturals.jpg,50,#f0e9d7,#e5d9c3,#ccb07d,#a48849,#4a4111
Dried Bouquet- Pink Fantasy,dried-bouquet-pink-fantasy.jpg,50,#edddcb,#e7b0a3,#c8a185,#ba816b,#894b4a
Dried Bouquet- Cherry Red,dried-bouquet-cherry-red.jpg,50,#dcc8af,#ac7957,#9d3d31,#881112,#3a0c09
Dried Bouquet- Pinks and Green,dried-bouquet-pinks-and-green.jpg,50,#eee6da,#e0b4ab,#b7986f,#906a3f,#3c350d
Dried Bouquet- Purple,dried-bouquet-purple.jpg,50,#eae5e9,#d3bbc7,#af847f,#5f3e4a,#150815
Dried Bouquet- Yellow and Green,dried-bouquet-yellow-and-green.jpg,50,#eadf9d,#dcc66d,#b99a45,#856720,#313607
Dried Bouquet- Orange,dried-bouquet-orange.jpg,50,#ebdac0,#e7b581,#cd9e6e,#c07d42,#af4213
