uuid,title,artist,date,src,w,h,restriction,tags
0cc9c353-1f2d-4a44-bfc9-3a91184407ae,The Kite and The Attached Birds,Jacques Bacheley; Joseph Antoine Cochet,ca. mid-18th century,/collections/art-of-kite-flying/kite-flying-00057.jpg,2256,1616,,"animals,birds"
3e3e41e6-f12e-4807-bea9-a032083e5dc1,"The Cruelty of the Bull, 1647",,ca. 1756–91,/collections/art-of-kite-flying/kite-flying-00051.jpg,3811,3267,,animals
cdcbefb5-0e8e-4443-9a65-4a89c47ece51,Divisions of the Head,,1886,/collections/delsarte-system/delsartesystemof00stebuoft_0156-edit.jpg,1113,1752,,animals
07affc7e-ea07-4366-bc31-35ac5cdcb244,Vegetable lamb,,1481,/essays/animal-vegetable-lamb/02-vegetable-lamb-mandeville.jpg,1260,1266,,"animals,sheep,zoology"
f2f156eb-2c9f-454d-80ce-4480df9f8db9,Vegetable lamb,,1725,/essays/animal-vegetable-lamb/03-voiagetravayleof00mand_0302-edit.jpg,1167,1194,,"animals,sheep,zoology"
403c5d67-0b8e-4678-b697-af7b2d56d13b,Vegetable lamb,,1605,/essays/animal-vegetable-lamb/04-vegetable-lamb-duret.jpg,1429,1032,,"animals,sheep,zoology"
a586101b-4a05-4379-9d11-6f0cb259b23c,Illustration featuring 'Planta Tartarica Boromez' and other vegetal creatures,,1696,/essays/animal-vegetable-lamb/05-speculaphysicoma00zahn_0935-edit.jpg,1627,2612,,"animals,sheep,zoology"
e33ccbc2-398e-4fc1-89cd-745a1c07a34e,Frontispiece depicting the Garden of Eden,Christopher Switzer,1629,/essays/animal-vegetable-lamb/07-Paradisi-in-sole-Paradisius-Terrestris.jpg,2695,4307,,"animals,sheep,zoology"
367e46ab-8136-4a6a-9117-8f48d25d9312,"Rhizome of a fern, shaped by the Chinese to represent a tan-coloured dog",,1887,/essays/animal-vegetable-lamb/09-vegetablelamboft00leehrich_0041-edit.jpg,3536,1984,,"animals,dogs,sheep,zoology"
fe235f57-bf33-49f0-b579-11e065d7748f,Barometz or Agnus Scythycus,William Hibbart,1791,/essays/animal-vegetable-lamb/10-b28760086_0008-edit.jpg,3792,2388,,"animals,sheep,zoology"
fa48236d-f2e5-4126-ae48-1a76f776e0ae,Agnus scythycus borometz,Elizabeth Blackwell,1750–1773,/essays/animal-vegetable-lamb/11-mobot31753000818994_0524-edit.jpg,2998,2954,,"animals,sheep,zoology"
200877e8-385c-4637-b456-08a890589252,"Mythical animals, including a vegetable lamb",,1801,/essays/animal-vegetable-lamb/12-bertuch1801bd1_0189-edit.jpg,2196,1764,,"animals,birds,sheep,zoology"
46cac279-210d-4e46-9bbf-8d522b61dffe,,Zhao Mengfu,ca. 1300,/collections/eight-horses/DP202744-edit.jpg,3087,2199,,"animals,horses"
eaa4f9e9-22f3-4e67-9a19-ccbe82924c82,,Zhao Mengfu,ca. 1300,/collections/eight-horses/DP202745-edit.jpg,2380,2187,,"animals,horses"
3c117223-ba88-4bd9-a67b-7b75ebb8ba42,,Zhao Mengfu,ca. 1300,/collections/eight-horses/DP202746-edit.jpg,3007,2199,,"animals,horses"
d59b56e0-dbcf-41e7-a62f-3130e558a60d,,Zhao Mengfu,ca. 1300,/collections/eight-horses/DP202747-edit.jpg,3004,2192,,"animals,horses"
aa028a7a-a7ec-4f05-85d2-39ef8aa27ddf,,Zhao Mengfu,ca. 1300,/collections/eight-horses/DP202748-edit.jpg,3132,2092,,"animals,horses"
ea9a777d-96f3-4d46-be95-fcec33e5a47d,The Sick Goose and the Council of Health,George Cruikshank,1830s,/essays/the-old-old-very-old-man/07-sick-goose-edit.jpg,3378,2115,,animals
62858081-a815-4903-bdbc-c131db8ca9b2,Spring,Michalina Janoszanka,1926,/shop/Spring-shop.jpg,1500,1393,,"animals,frogs"
