file,uuid,title,artist,date,w,h,tags,status
the-kite-and-the-attached-birds__0cc9c353.jpg,0cc9c353-1f2d-4a44-bfc9-3a91184407ae,The Kite and The Attached Birds,Jacques Bacheley; Joseph Antoine Cochet,ca. mid-18th century,2256,1616,"animals,birds",ok
the-cruelty-of-the-bull-1647__3e3e41e6.jpg,3e3e41e6-f12e-4807-bea9-a032083e5dc1,"The Cruelty of the Bull, 1647",,ca. 1756–91,3811,3267,animals,ok
divisions-of-the-head__cdcbefb5.jpg,cdcbefb5-0e8e-4443-9a65-4a89c47ece51,Divisions of the Head,,1886,1113,1752,animals,ok
vegetable-lamb__07affc7e.jpg,07affc7e-ea07-4366-bc31-35ac5cdcb244,Vegetable lamb,,1481,1260,1266,"animals,sheep,zoology",ok
vegetable-lamb__f2f156eb.jpg,f2f156eb-2c9f-454d-80ce-4480df9f8db9,Vegetable lamb,,1725,1167,1194,"animals,sheep,zoology",ok
vegetable-lamb__403c5d67.jpg,403c5d67-0b8e-4678-b697-af7b2d56d13b,Vegetable lamb,,1605,1429,1032,"animals,sheep,zoology",ok
illustration-featuring-planta-tartarica-boromez-and-other-ve__a586101b.jpg,a586101b-4a05-4379-9d11-6f0cb259b23c,Illustration featuring 'Planta Tartarica Boromez' and other vegetal creatures,,1696,1627,2612,"animals,sheep,zoology",ok
frontispiece-depicting-the-garden-of-eden__e33ccbc2.jpg,e33ccbc2-398e-4fc1-89cd-745a1c07a34e,Frontispiece depicting the Garden of Eden,Christopher Switzer,1629,2695,4307,"animals,sheep,zoology",ok
rhizome-of-a-fern-shaped-by-the-chinese-to-represent-a-tan-c__367e46ab.jpg,367e46ab-8136-4a6a-9117-8f48d25d9312,"Rhizome of a fern, shaped by the Chinese to represent a tan-coloured dog",,1887,3536,1984,"animals,dogs,sheep,zoology",ok
barometz-or-agnus-scythycus__fe235f57.jpg,fe235f57-bf33-49f0-b579-11e065d7748f,Barometz or Agnus Scythycus,William Hibbart,1791,3792,2388,"animals,sheep,zoology",ok
agnus-scythycus-borometz__fa48236d.jpg,fa48236d-f2e5-4126-ae48-1a76f776e0ae,Agnus scythycus borometz,Elizabeth Blackwell,1750–1773,2998,2954,"animals,sheep,zoology",ok
mythical-animals-including-a-vegetable-lamb__200877e8.jpg,200877e8-385c-4637-b456-08a890589252,"Mythical animals, including a vegetable lamb",,1801,2196,1764,"animals,birds,sheep,zoology",ok
untitled__46cac279.jpg,46cac279-210d-4e46-9bbf-8d522b61dffe,,Zhao Mengfu,ca. 1300,3087,2199,"animals,horses",ok
untitled__eaa4f9e9.jpg,eaa4f9e9-22f3-4e67-9a19-ccbe82924c82,,Zhao Mengfu,ca. 1300,2380,2187,"animals,horses",ok
