uuid,title,artist,date,src,w,h,restriction,tags
006934f1-747c-4be9-9b2a-3ce6912c8cb3,Celestial apparitions over Nuremberg,Hans Glaser,1561,/collections/celestial-phenomena-16th-century-germany/celestial-phenomena-00001.jpeg,6537,4670,,"celestial,sun"
fca6f760-bb78-4f03-97ad-ec565ef9a30e,Creation of the Firmament,Paul Nash,1924,/collections/paul-nash-s-genesis/4-Creation-of-the-Firmament.jpg,2894,3681,,"celestial,sky"
f07c942e-ddd0-45ff-9155-9a3041fbc24c,The Stars Also,Paul Nash,1924,/collections/paul-nash-s-genesis/8-The-Stars-Also.jpg,2953,3739,,"celestial,stars"
2f3a608f-221f-483d-89ae-54c7327ce2e9,,Raffaele Mainella,1907,/collections/nos-invisibles/BSG_FOLRSUP15RES_0116.jpeg,4307,6255,,celestial
1bb68af2-b919-4f2c-92da-c6133b178250,"Orbs and rainbows circling the sun in Nuremberg, 1580.",,1580,/collections/celestial-phenomena-16th-century-germany/celestial-phenomena-00004.jpeg,5031,6367,,"astronomy,celestial,sun"
27a36287-0057-4e6a-a7a7-d5b0095ef93f,"Northern lights observed over Ausburg on March 6, 1582, interpreted as an omen of disaster.",,1582,/collections/celestial-phenomena-16th-century-germany/celestial-phenomena-00039.jpeg,6406,5344,,"astronomy,celestial"
337c5913-1270-4a1e-9162-f0c850594893,"Report of a moon ring (halo) with two secondary moons, above Marburg in 1571.",,1571,/collections/celestial-phenomena-16th-century-germany/celestial-phenomena-00037.jpeg,4528,6175,,"astronomy,celestial,moon,sun"
433d0664-11f8-48ec-98cc-93c66b5e6d60,"Report of a halo around the sun on May 12, 1556 over Nuremberg.",,1556,/collections/celestial-phenomena-16th-century-germany/celestial-phenomena-00014.jpeg,4208,5588,,"astronomy,celestial,sun"
4258123c-43ec-4f55-a6a1-9a5a3247048d,"A luminous celestial phenomenon observed in Giromagny, France, December 22, 1572.",,1572,/collections/celestial-phenomena-16th-century-germany/celestial-phenomena-00017.jpeg,5480,6909,,"astronomy,celestial,stars"
8b864f7a-1ce2-4d4d-8335-544439a1c042,"Depiction of a halo and secondary sun apparition on January 16, 1561 over Rottenburg ob der Tauber.",,1561,/collections/celestial-phenomena-16th-century-germany/celestial-phenomena-00038.jpeg,4304,6357,,"astronomy,celestial"
8f7f7100-f631-4370-9933-bd51eece6ea6,"Celestial apparition on January 20, 1582 over Nuremberg.",,1582,/collections/celestial-phenomena-16th-century-germany/celestial-phenomena-00005.jpeg,5179,6702,,"astronomy,celestial,moon,stars,sun"
9f9c520a-55e9-4d06-96d5-b36ac2a421c0,"Depiction of a star that was seen in Calabria, with a fire-breathing dragon and the zodiac sign Aquarius.",,1585,/collections/celestial-phenomena-16th-century-germany/celestial-phenomena-00035.jpeg,5568,7064,,"astronomy,celestial"
a5193024-2f65-4334-b427-fd150bbc059c,"Report of two celestial phenomena observed near Worms on November 26 and 27, ca. 1540.",,ca. 1540,/collections/celestial-phenomena-16th-century-germany/celestial-phenomena-00013.jpeg,6071,4016,,"astronomy,celestial,stars"
b92dba4f-4552-4dcd-ac2f-2946352cb7e8,“The terrible miracle of two earthquakes which happened in Rossanna and Constantinople in 1556”.,,1556,/collections/celestial-phenomena-16th-century-germany/celestial-phenomena-00011.jpeg,5175,6348,,"astronomy,celestial"
b6a0f2f3-1506-449c-b727-1b539841103f,Northern lights observed between Saxony and Magdeburg in 1561.,,1561,/collections/celestial-phenomena-16th-century-germany/celestial-phenomena-00021.jpeg,5909,4920,,"astronomy,celestial,stars"
e4554e26-8318-49b0-89f4-8d23c6926c58,"Celestial apparition on December 18, 1564 near Schwabmünchen, Germany.",,1564,/collections/celestial-phenomena-16th-century-germany/celestial-phenomena-00018.jpeg,5016,6312,,"astronomy,celestial"
f58db960-b084-427c-b489-648aa1aaf2fe,Comet apparition from November 1577 with a view of Nuremberg.,,1577,/collections/celestial-phenomena-16th-century-germany/celestial-phenomena-00031.jpeg,5504,6755,,"astronomy,celestial,sky"
4a6cd96e-b84c-47fd-8b14-092df61e17ae,"Celestial phenomenon over Giromagny, 1572",Anonymous,1572,/shop/cp-1-small.jpg,1500,1153,,"astronomy,celestial,sun"
23f56674-3eb6-4d21-9378-81d79cf7c8ff,"Celestial phenomenon over Marburg, 1571",Anonymous,1571,/shop/cp-5-small.jpg,1500,988,,"astronomy,celestial,sun"
296bb0f4-4258-40db-b22f-6e51ecbf48c5,"Celestial phenomenon over Nuremberg, 1556",Anonymous,1556,/shop/cp-2-small.jpg,1500,1472,,"astronomy,celestial,sun"
8f5fcfb2-5786-462d-8405-a04a650ebbd3,"Celestial phenomenon over Nuremberg, 1580",Anonymous,1580,/shop/cp-4-small.jpg,1500,1129,,"astronomy,celestial,sun"
8e7b6ebd-cec3-4742-806f-4a7f7f35cd69,"Celestial phenomenon over Nuremberg, April, 1561",Anonymous,1561,/shop/cp-9-small.jpg,1500,1077,,"astronomy,celestial,sun"
a4cc69d0-e44c-4c11-84c9-390bac903b57,"Celestial phenomenon over Nuremberg, March, 1561",Anonymous,1561,/shop/cp-6-small.jpg,1500,1526,,"astronomy,celestial,moon,sun"
8550fb5b-44c5-4c0d-930b-43612acc5941,"Celestial phenomenon over Prague, 1580",Anonymous,1580,/shop/cp-8-small.jpg,1500,1040,,"astronomy,celestial,sun"
91a69ca0-7067-4bbf-9bc0-9f4e8756d0e3,"Celestial phenomenon over Salon-de-Provence, 1554",Anonymous,1554,/shop/cp-7-small.jpg,6856,3896,,"astronomy,celestial,moon"
d195b98d-b7fa-4d1d-8749-e6d7f15e8e89,"Celestial phenomenon over Worms, 1540",Anonymous,1540,/shop/cp-3-small.jpg,1500,985,,"astronomy,celestial,moon,stars"
880b70cb-301d-42ec-90dd-9bf12d7b47cd,,,ca. 1880,/collections/paper-lantern-catalogue/DP110891-edit.jpeg,3898,4000,,"celestial,moon,stars"
b9b8ffed-cca2-4b1d-a59a-c032906e26fb,,,ca. 1880,/collections/paper-lantern-catalogue/DP110895.jpg,3647,4000,,"celestial,moon,stars,sun"
3e2b0793-55ef-453e-bd2f-c30d866023d3,Eclipse Diagram from *Smith's Illustrated Astronomy*,Asa Smith,1849,/shop/nov-2023-prints-00057.jpg,1005,1200,,"celestial,sun"
cd85eefe-3593-4ce4-b6e9-9b9b75c43f82,"Universe with Earth, Sun, Moon, and Stars",Caspar Luyken,1712,/shop/nov-2023-prints-00036.jpg,1200,938,,"astronomy,celestial,stars,sun"
58c9be64-d3d2-428b-b808-8f5e3775c13b,,Thomas Smillie,1890–1913,/collections/smillie-smithsonian/smillie-smithsonian-41.jpg,1600,1097,,celestial
d4277b5b-85e6-4bdc-87d6-57f69cdb870e,A Missionary of the Middle Ages Tells That He Had Found the Point Where the Sky and the Earth Touch,Camille Flammarion,ca. 1888,/collections/flammarion-engraving/flam-engraving-2.jpg,1400,1173,,"celestial,space,stars,sun"
f8c1dca9-a683-4258-9231-6481490c66ca,Melencolia I,Albrecht Dürer,1514,/essays/melancholy-polyhedra/11-DP820348-edit.jpeg,1092,1400,,celestial
b153230c-b7e5-4127-bdf8-63910a675f67,Ideal View of Saturn’s Rings and Satellites From the Planet,Agnes Giberne,1898,/collections/story-of-sun-moon-stars/storyofsunmoonst00gibe_0230.jpeg,958,969,,"astronomy,celestial,moon,space,stars,sun"
c77289fb-3b4b-4512-82bc-f1addf72a86c,The Great Shower of Shooting-Stars,Agnes Giberne,1898,/collections/story-of-sun-moon-stars/storyofsunmoonst00gibe_0098.jpeg,996,723,,"astronomy,celestial,sky,space,stars"
48aeee21-0d65-48ba-8f3b-1c117aa5a793,Judgement Day,,ca. 1330,/collections/holkham-bible/holkham-bible-41.jpeg,989,1363,,celestial
cde12e40-1a93-4cde-a690-7828a48a9c18,Jacob's Dream,William Blake,ca. 1805,/shop/nov-21-prints-00004.jpg,931,1200,,celestial
4a49c866-ff6f-4ef6-a66d-fdba57342118,[The Earth With the Milky Way and Moon],Władysław T. Benda,ca. 1918,/essays/pannekoek/service-pnp-cai-2a11000-2a11600-2a11699v-edit.jpeg,1021,749,,"astronomy,celestial,stars"
0f48a4a8-6e7b-459d-8be1-cea95a4f0c8f,"*Paradiso*, Canto I: Beatrice explaining scientific theories to Dante.",Giovanni di Paolo di Grazia,ca. 1450,/collections/dante-divine-comedy-in-art/dante-commedia-16.jpeg,1024,491,,celestial
e601e9f6-b05e-4fb7-acbc-8198c33bf12d,"*Paradiso*, Canto XXI: Ascent to the Seventh Heaven, the Sphere of Saturn.",,ca. 1564,/collections/dante-divine-comedy-in-art/dante-commedia-41.jpg,1876,2283,,celestial
fb98bd32-d07a-464a-8dac-0ce82f30780e,*Paradiso*: Dante and Beatrice before the Light.,Giovanni di Paolo di Grazia,ca. 1450,/collections/dante-divine-comedy-in-art/dante-commedia-19.jpeg,1023,586,,"celestial,sun"
1cff2531-5854-4e86-b497-070542ad2ba6,Vesta,,1829,/collections/astronomia/10995138.jpg,1043,1536,,"astrology,astronomy,celestial,space,stars,zodiac"
3dc27b77-99b3-48bd-b9ad-b376942741d7,Pallas,,1829,/collections/astronomia/10995141.jpg,1035,1520,,"astrology,astronomy,celestial,space,stars,zodiac"
448d5305-a850-4428-8758-dcd14b1050fb,Herschel,,1829,/collections/astronomia/10995146.jpg,1058,1544,,"astrology,astronomy,celestial,moon,space,stars,zodiac"
5d6209d7-88b3-48ec-a65e-a7bee4ce1f7e,Jupiter,,1829,/collections/astronomia/10995148.jpg,1058,1544,,"astrology,astronomy,celestial,space,stars,zodiac"
5e783eff-9427-4730-bbad-e1ca26d9825f,Tellus,,1829,/collections/astronomia/10995145.jpg,1058,1544,,"astrology,astronomy,celestial,moon,space,stars,zodiac"
535ac1f4-40ca-4257-8bba-90dc772a78e7,Ceres,,1829,/collections/astronomia/10995139.jpg,1043,1536,,"astrology,astronomy,celestial,space,stars,zodiac"
62dcbb96-caa9-4b4a-b973-c3df7436be3c,Venus,,1829,/collections/astronomia/10995144.jpg,1058,1544,,"astrology,astronomy,celestial,moon,space,stars,zodiac"
79065111-1067-4228-ac4b-de09d3be157d,Mercury,,1829,/collections/astronomia/10995142.jpg,1035,1520,,"astrology,astronomy,celestial,space,stars,zodiac"
ad5e05c7-1a26-443f-b119-5652f180c65e,Mars,,1829,/collections/astronomia/10995143.jpg,1058,1544,,"astrology,astronomy,celestial,space,stars,zodiac"
c8994b9c-9967-40ef-97f0-aa00ab493d17,Juno,,1829,/collections/astronomia/10995140.jpg,1035,1520,,"astrology,astronomy,celestial,space,stars,zodiac"
d6c9675b-3b08-4e22-9064-153fc61e3c6b,The Sun,,1829,/collections/astronomia/10995149.jpg,1067,1568,,"astrology,astronomy,celestial,space,stars,sun,zodiac"
d1a08242-d307-4574-80c7-82c3ef7881ad,Saturn,,1829,/collections/astronomia/10995147.jpg,1058,1544,,"astrology,astronomy,celestial,space,stars,zodiac"
ed364958-9c19-460f-b085-e476ef32246c,Leo and Virgo,,1829,/collections/astronomia/10995150.jpg,1067,1546,,"astrology,astronomy,celestial,space,stars,zodiac"
1d74f4e6-b011-4154-8f9e-d93a72a697b4,"“The Pleides , a well known Knot of Stars in the Sign Taurus.”",Thomas Wright,1750,/collections/an-original-theory-or-new-hypothesis-of-the-universe/originaltheoryor00wrig_0133.jpg,805,1200,,"astronomy,celestial,space,stars"
17662752-58ac-4a5a-b050-5702de115225,“A representation of a solar System.”,Thomas Wright,1750,/collections/an-original-theory-or-new-hypothesis-of-the-universe/originaltheoryor00wrig_0107.jpg,1047,1200,,"astronomy,celestial,space,stars"
2e460df3-a735-46f6-a9b3-f3f91efd6d0b,"A Section, and Segments of a Creation of a double Construction",Thomas Wright,1750,/collections/an-original-theory-or-new-hypothesis-of-the-universe/originaltheoryor00wrig_0157.jpg,831,1200,,"astronomy,celestial,space,stars"
29f68cd3-d6e3-47ed-9c6a-a07b707f1fdd,"“A Representation of the Convexity, if I may call it so.”",Thomas Wright,1750,/collections/an-original-theory-or-new-hypothesis-of-the-universe/originaltheoryor00wrig_0151.jpg,1070,1200,,"astronomy,celestial,space,stars"
35544451-94f6-41b9-99a8-2a8592a550bd,“The real Magnitude of the Globe of the Earth.”,Thomas Wright,1750,/collections/an-original-theory-or-new-hypothesis-of-the-universe/originaltheoryor00wrig_0163.jpg,1152,1200,,"astronomy,celestial,space,stars"
38018e7d-de41-4166-b1fe-1923d7f4554c,“A true Plan and Combination of the principal Stars that form the Persedes.”,Thomas Wright,1750,/collections/an-original-theory-or-new-hypothesis-of-the-universe/originaltheoryor00wrig_0143.jpg,824,1200,,"astronomy,celestial,space,stars"
3062b844-c766-450c-819a-fe3fac97f868,“[Hemisphere] where the true Tract of this most surprizing Zone of Light is distinguished amongst the principal Stars.”,Thomas Wright,1750,/collections/an-original-theory-or-new-hypothesis-of-the-universe/originaltheoryor00wrig_0127.jpg,1190,1200,,"astronomy,celestial,space,stars"
3eb396f5-6991-4997-a6cd-9a4329f3cf22,“An exact Scheme of the principal known Comets”,Thomas Wright,1750,/collections/an-original-theory-or-new-hypothesis-of-the-universe/originaltheoryor00wrig_0121.jpg,830,1200,,"astronomy,celestial,space,stars"
3c0029f6-566e-49ec-92b3-8dd11e856e3b,“A proportional Drawing of all the primary and secondary Planets together.”,Thomas Wright,1750,/collections/an-original-theory-or-new-hypothesis-of-the-universe/originaltheoryor00wrig_0119.jpg,836,1200,,"astronomy,celestial,space,stars"
34ada425-109d-4d96-a84b-ad07f0b549ba,"“The Body of the Earth and Moon, with their common Center of Gravity.”",Thomas Wright,1750,/collections/an-original-theory-or-new-hypothesis-of-the-universe/originaltheoryor00wrig_0117.jpg,849,1200,,"astronomy,celestial,space,stars"
482a4338-3dfd-4c22-882d-ed00bfd860cc,Plane and profile views of stars moving around a central body,Thomas Wright,1750,/collections/an-original-theory-or-new-hypothesis-of-the-universe/originaltheoryor00wrig_0161.jpg,825,1200,,"astronomy,celestial,space,stars"
