file,uuid,title,artist,date,w,h,tags,status
celestial-apparitions-over-nuremberg__006934f1.jpeg,006934f1-747c-4be9-9b2a-3ce6912c8cb3,Celestial apparitions over Nuremberg,Hans Glaser,1561,6537,4670,"celestial,sun",have
creation-of-the-firmament__fca6f760.jpg,fca6f760-bb78-4f03-97ad-ec565ef9a30e,Creation of the Firmament,Paul Nash,1924,2894,3681,"celestial,sky",have
the-stars-also__f07c942e.jpg,f07c942e-ddd0-45ff-9155-9a3041fbc24c,The Stars Also,Paul Nash,1924,2953,3739,"celestial,stars",have
untitled__2f3a608f.jpeg,2f3a608f-221f-483d-89ae-54c7327ce2e9,,Raffaele Mainella,1907,4307,6255,celestial,have
orbs-and-rainbows-circling-the-sun-in-nuremberg-1580__1bb68af2.jpeg,1bb68af2-b919-4f2c-92da-c6133b178250,"Orbs and rainbows circling the sun in Nuremberg, 1580.",,1580,5031,6367,"astronomy,celestial,sun",have
northern-lights-observed-over-ausburg-on-march-6-1582-interp__27a36287.jpeg,27a36287-0057-4e6a-a7a7-d5b0095ef93f,"Northern lights observed over Ausburg on March 6, 1582, interpreted as an omen of disaster.",,1582,6406,5344,"astronomy,celestial",have
report-of-a-moon-ring-halo-with-two-secondary-moons-above-ma__337c5913.jpeg,337c5913-1270-4a1e-9162-f0c850594893,"Report of a moon ring (halo) with two secondary moons, above Marburg in 1571.",,1571,4528,6175,"astronomy,celestial,moon,sun",have
report-of-a-halo-around-the-sun-on-may-12-1556-over-nurember__433d0664.jpeg,433d0664-11f8-48ec-98cc-93c66b5e6d60,"Report of a halo around the sun on May 12, 1556 over Nuremberg.",,1556,4208,5588,"astronomy,celestial,sun",have
a-luminous-celestial-phenomenon-observed-in-giromagny-france__4258123c.jpeg,4258123c-43ec-4f55-a6a1-9a5a3247048d,"A luminous celestial phenomenon observed in Giromagny, France, December 22, 1572.",,1572,5480,6909,"astronomy,celestial,stars",have
depiction-of-a-halo-and-secondary-sun-apparition-on-january-__8b864f7a.jpeg,8b864f7a-1ce2-4d4d-8335-544439a1c042,"Depiction of a halo and secondary sun apparition on January 16, 1561 over Rottenburg ob der Tauber.",,1561,4304,6357,"astronomy,celestial",have
celestial-apparition-on-january-20-1582-over-nuremberg__8f7f7100.jpeg,8f7f7100-f631-4370-9933-bd51eece6ea6,"Celestial apparition on January 20, 1582 over Nuremberg.",,1582,5179,6702,"astronomy,celestial,moon,stars,sun",have
depiction-of-a-star-that-was-seen-in-calabria-with-a-fire-br__9f9c520a.jpeg,9f9c520a-55e9-4d06-96d5-b36ac2a421c0,"Depiction of a star that was seen in Calabria, with a fire-breathing dragon and the zodiac sign Aquarius.",,1585,5568,7064,"astronomy,celestial",have
report-of-two-celestial-phenomena-observed-near-worms-on-nov__a5193024.jpeg,a5193024-2f65-4334-b427-fd150bbc059c,"Report of two celestial phenomena observed near Worms on November 26 and 27, ca. 1540.",,ca. 1540,6071,4016,"astronomy,celestial,stars",have
the-terrible-miracle-of-two-earthquakes-which-happened-in-ro__b92dba4f.jpeg,b92dba4f-4552-4dcd-ac2f-2946352cb7e8,“The terrible miracle of two earthquakes which happened in Rossanna and Constantinople in 1556”.,,1556,5175,6348,"astronomy,celestial",have
northern-lights-observed-between-saxony-and-magdeburg-in-156__b6a0f2f3.jpeg,b6a0f2f3-1506-449c-b727-1b539841103f,Northern lights observed between Saxony and Magdeburg in 1561.,,1561,5909,4920,"astronomy,celestial,stars",have
celestial-apparition-on-december-18-1564-near-schwabm-nchen-__e4554e26.jpeg,e4554e26-8318-49b0-89f4-8d23c6926c58,"Celestial apparition on December 18, 1564 near Schwabmünchen, Germany.",,1564,5016,6312,"astronomy,celestial",have
comet-apparition-from-november-1577-with-a-view-of-nuremberg__f58db960.jpeg,f58db960-b084-427c-b489-648aa1aaf2fe,Comet apparition from November 1577 with a view of Nuremberg.,,1577,5504,6755,"astronomy,celestial,sky",have
celestial-phenomenon-over-giromagny-1572__4a6cd96e.jpg,4a6cd96e-b84c-47fd-8b14-092df61e17ae,"Celestial phenomenon over Giromagny, 1572",Anonymous,1572,1500,1153,"astronomy,celestial,sun",have
celestial-phenomenon-over-marburg-1571__23f56674.jpg,23f56674-3eb6-4d21-9378-81d79cf7c8ff,"Celestial phenomenon over Marburg, 1571",Anonymous,1571,1500,988,"astronomy,celestial,sun",have
celestial-phenomenon-over-nuremberg-1556__296bb0f4.jpg,296bb0f4-4258-40db-b22f-6e51ecbf48c5,"Celestial phenomenon over Nuremberg, 1556",Anonymous,1556,1500,1472,"astronomy,celestial,sun",have
celestial-phenomenon-over-nuremberg-1580__8f5fcfb2.jpg,8f5fcfb2-5786-462d-8405-a04a650ebbd3,"Celestial phenomenon over Nuremberg, 1580",Anonymous,1580,1500,1129,"astronomy,celestial,sun",have
celestial-phenomenon-over-nuremberg-april-1561__8e7b6ebd.jpg,8e7b6ebd-cec3-4742-806f-4a7f7f35cd69,"Celestial phenomenon over Nuremberg, April, 1561",Anonymous,1561,1500,1077,"astronomy,celestial,sun",have
celestial-phenomenon-over-nuremberg-march-1561__a4cc69d0.jpg,a4cc69d0-e44c-4c11-84c9-390bac903b57,"Celestial phenomenon over Nuremberg, March, 1561",Anonymous,1561,1500,1526,"astronomy,celestial,moon,sun",have
celestial-phenomenon-over-prague-1580__8550fb5b.jpg,8550fb5b-44c5-4c0d-930b-43612acc5941,"Celestial phenomenon over Prague, 1580",Anonymous,1580,1500,1040,"astronomy,celestial,sun",have
celestial-phenomenon-over-salon-de-provence-1554__91a69ca0.jpg,91a69ca0-7067-4bbf-9bc0-9f4e8756d0e3,"Celestial phenomenon over Salon-de-Provence, 1554",Anonymous,1554,6856,3896,"astronomy,celestial,moon",have
celestial-phenomenon-over-worms-1540__d195b98d.jpg,d195b98d-b7fa-4d1d-8749-e6d7f15e8e89,"Celestial phenomenon over Worms, 1540",Anonymous,1540,1500,985,"astronomy,celestial,moon,stars",have
untitled__880b70cb.jpeg,880b70cb-301d-42ec-90dd-9bf12d7b47cd,,,ca. 1880,3898,4000,"celestial,moon,stars",have
untitled__b9b8ffed.jpg,b9b8ffed-cca2-4b1d-a59a-c032906e26fb,,,ca. 1880,3647,4000,"celestial,moon,stars,sun",have
eclipse-diagram-from-smith-s-illustrated-astronomy__3e2b0793.jpg,3e2b0793-55ef-453e-bd2f-c30d866023d3,Eclipse Diagram from *Smith's Illustrated Astronomy*,Asa Smith,1849,1005,1200,"celestial,sun",have
universe-with-earth-sun-moon-and-stars__cd85eefe.jpg,cd85eefe-3593-4ce4-b6e9-9b9b75c43f82,"Universe with Earth, Sun, Moon, and Stars",Caspar Luyken,1712,1200,938,"astronomy,celestial,stars,sun",have
untitled__58c9be64.jpg,58c9be64-d3d2-428b-b808-8f5e3775c13b,,Thomas Smillie,1890–1913,1600,1097,celestial,have
a-missionary-of-the-middle-ages-tells-that-he-had-found-the-__d4277b5b.jpg,d4277b5b-85e6-4bdc-87d6-57f69cdb870e,A Missionary of the Middle Ages Tells That He Had Found the Point Where the Sky and the Earth Touch,Camille Flammarion,ca. 1888,1400,1173,"celestial,space,stars,sun",have
melencolia-i__f8c1dca9.jpeg,f8c1dca9-a683-4258-9231-6481490c66ca,Melencolia I,Albrecht Dürer,1514,1092,1400,celestial,have
ideal-view-of-saturn-s-rings-and-satellites-from-the-planet__b153230c.jpeg,b153230c-b7e5-4127-bdf8-63910a675f67,Ideal View of Saturn’s Rings and Satellites From the Planet,Agnes Giberne,1898,958,969,"astronomy,celestial,moon,space,stars,sun",have
