uuid,title,artist,date,src,w,h,restriction,tags
3e3e41e6-f12e-4807-bea9-a032083e5dc1,"The Cruelty of the Bull, 1647",,ca. 1756–91,/collections/art-of-kite-flying/kite-flying-00051.jpg,3811,3267,,monsters
550b6149-6a7e-4a15-a98a-fd4cb5109950,Kite-flying scene,Utagawa Hiroshige,ca. 1797–1858,/collections/art-of-kite-flying/kite-flying-00006.jpg,3000,1962,,monsters
168d78a9-18ef-4395-abe0-6f0c19df95ec,Kites of Fukuroi and Distant View of Akiba in Totomi Province,Utagawa Hiroshige,1859,/collections/art-of-kite-flying/kite-flying-00007.jpg,2036,3000,,monsters
66c89845-e7a8-466e-ad59-3d4c97ed9b97,Satan,,1559,/collections/histoires-prodigieuses/histoires-prodigieuses-00001.jpg,2794,2965,,"beasts,devils,human-animal-hybrid,hybrid-figures,monsters,supernatural"
1f2c7402-75d9-4808-be69-9a704d3dcbf0,"A story of our times, of two girls joined together",,1559,/collections/histoires-prodigieuses/histoires-prodigieuses-00005.jpg,2596,2970,,"beasts,monsters"
340dcbe6-8acb-44de-990d-9f305ea817f9,The Monster of Cracow,,1559,/collections/histoires-prodigieuses/histoires-prodigieuses-00006-2.jpg,2597,2930,,"beasts,devils,human-animal-hybrid,hybrid-figures,monsters,supernatural"
5ef6bed8-e1ce-4dbc-8e9f-246560a09f83,Monster born on the borders of England and Normandy,,1559,/collections/histoires-prodigieuses/histoires-prodigieuses-00009.jpg,2573,3019,,"beasts,monsters"
c12994d4-4312-45fd-a66b-00dd51717196,"Little male monster, who has four arms and four legs",,1559,/collections/histoires-prodigieuses/histoires-prodigieuses-00014.jpg,2625,3041,,"beasts,monsters"
7e15046a-4705-41f9-82ee-5ddb5d1bab7e,Conjoined twins from Verona,,1559,/collections/histoires-prodigieuses/histoires-prodigieuses-00017.jpg,2634,2959,,"beasts,monsters"
2f7da1d0-ef00-4ef7-8501-60ec639b5998,"Two monsters, one male, the other female, seen in our time in Italy",,1559,/collections/histoires-prodigieuses/histoires-prodigieuses-00022.jpg,2617,2839,,"beasts,monsters"
f9cf34d5-8148-4e3c-94fa-bfe68cc5d0b4,Male monster who has been seen in France in our time,,1559,/collections/histoires-prodigieuses/histoires-prodigieuses-00025.jpg,2657,2992,,"beasts,monsters"
5662193e-1c0d-49f2-90d3-b0be3e184022,A rich noblewoman fortifying herself against the laws of nature,,1559,/collections/histoires-prodigieuses/histoires-prodigieuses-00028.jpg,2607,2733,,"beasts,devils,monsters,supernatural"
123fd004-6e34-4013-bc50-a30f24db8ef3,An embalmed serpent sent by the Venetians to King Francis,,1559,/collections/histoires-prodigieuses/histoires-prodigieuses-00029.jpg,2651,2926,,"beasts,devils,monsters,serpents,supernatural"
50798c69-87e8-43da-a584-4dac1d2f378c,The Devil in India,Jörg Breu the Elder,1515,/collections/histoires-prodigieuses/breu-satan-crop.jpg,1576,1672,,"beasts,devils,human-animal-hybrid,hybrid-figures,monsters,supernatural"
a6041d66-7ff6-4a6c-bd80-b207b5289841,Dreams,Aubrey Beardsley,1894,/collections/aubrey-beardsley/beardsley-illustration-00017.jpg,1882,2578,,"dragons,grotesque,hybrid-figures,monsters"
cfafee22-0192-48b9-bcc5-b97d7379ba9f,Unpublished design,Aubrey Beardsley,1894,/collections/aubrey-beardsley/beardsley-illustration-00018.jpg,2227,2047,,"grotesque,hybrid-figures,monsters"
e28d20a0-d4be-425b-9f66-4664d6d752ad,Image of a blemmyes,,ca. 1175–1200,/collections/blemmyes/14350289515_96fd2805c2_c-edit.jpg,625,722,,"bestiary,monsters"
49a6c1c8-1ea1-4819-8a06-6dee48232225,Image of a blemmyes,,ca. 1250,/collections/blemmyes/blemmyae-wonders-of-the-east-cotton-tiberiusbv-edit.jpg,1370,1941,,"bestiary,monsters"
cd246621-357c-4bb0-95fa-4f91e231e97f,Image of a blemmyes,,ca. 1260,/collections/blemmyes/BL-rutland-psalter.jpg,700,672,,"bestiary,monsters"
49ad4a35-7735-4d4a-a72c-264b22fcb80d,Blemmyes and other “monsters”,,ca. 1277 or after,/collections/blemmyes/556fcce3-91c2-4fc5-a182-fd93892c63eb_3131-edit.jpg,2321,3080,,"bestiary,monsters"
31e9a124-1014-4cc5-b666-b82f40273207,Image of blemmyes,,ca. 1442–1448,/collections/blemmyes/cpg300_0748-edit.jpg,1176,1727,,"bestiary,human-animal-hybrid,monsters"
1e3b0b7d-28ac-4c9c-b47a-d45831a9b6a6,Image of blemmyes,,ca. 1450–1475,/collections/blemmyes/v2_bsb00009566_00132_full_full_0_default-edit.jpg,3358,4287,,"bestiary,monsters"
6a442538-5da0-4415-b26e-1c9a7d30d353,Blemmyes and other “monsters”,,ca. 1475,/collections/blemmyes/0a906710-bfa1-41f1-affc-8a9523b1c903_4117-edit.jpg,1398,1190,,"bestiary,human-animal-hybrid,monsters"
