file,uuid,title,artist,date,w,h,tags,status
the-cruelty-of-the-bull-1647__3e3e41e6.jpg,3e3e41e6-f12e-4807-bea9-a032083e5dc1,"The Cruelty of the Bull, 1647",,ca. 1756–91,3811,3267,monsters,ok
kite-flying-scene__550b6149.jpg,550b6149-6a7e-4a15-a98a-fd4cb5109950,Kite-flying scene,Utagawa Hiroshige,ca. 1797–1858,3000,1962,monsters,ok
kites-of-fukuroi-and-distant-view-of-akiba-in-totomi-provinc__168d78a9.jpg,168d78a9-18ef-4395-abe0-6f0c19df95ec,Kites of Fukuroi and Distant View of Akiba in Totomi Province,Utagawa Hiroshige,1859,2036,3000,monsters,ok
satan__66c89845.jpg,66c89845-e7a8-466e-ad59-3d4c97ed9b97,Satan,,1559,2794,2965,"beasts,devils,human-animal-hybrid,hybrid-figures,monsters,supernatural",ok
a-story-of-our-times-of-two-girls-joined-together__1f2c7402.jpg,1f2c7402-75d9-4808-be69-9a704d3dcbf0,"A story of our times, of two girls joined together",,1559,2596,2970,"beasts,monsters",ok
the-monster-of-cracow__340dcbe6.jpg,340dcbe6-8acb-44de-990d-9f305ea817f9,The Monster of Cracow,,1559,2597,2930,"beasts,devils,human-animal-hybrid,hybrid-figures,monsters,supernatural",ok
monster-born-on-the-borders-of-england-and-normandy__5ef6bed8.jpg,5ef6bed8-e1ce-4dbc-8e9f-246560a09f83,Monster born on the borders of England and Normandy,,1559,2573,3019,"beasts,monsters",ok
little-male-monster-who-has-four-arms-and-four-legs__c12994d4.jpg,c12994d4-4312-45fd-a66b-00dd51717196,"Little male monster, who has four arms and four legs",,1559,2625,3041,"beasts,monsters",ok
conjoined-twins-from-verona__7e15046a.jpg,7e15046a-4705-41f9-82ee-5ddb5d1bab7e,Conjoined twins from Verona,,1559,2634,2959,"beasts,monsters",ok
two-monsters-one-male-the-other-female-seen-in-our-time-in-i__2f7da1d0.jpg,2f7da1d0-ef00-4ef7-8501-60ec639b5998,"Two monsters, one male, the other female, seen in our time in Italy",,1559,2617,2839,"beasts,monsters",ok
male-monster-who-has-been-seen-in-france-in-our-time__f9cf34d5.jpg,f9cf34d5-8148-4e3c-94fa-bfe68cc5d0b4,Male monster who has been seen in France in our time,,1559,2657,2992,"beasts,monsters",ok
a-rich-noblewoman-fortifying-herself-against-the-laws-of-nat__5662193e.jpg,5662193e-1c0d-49f2-90d3-b0be3e184022,A rich noblewoman fortifying herself against the laws of nature,,1559,2607,2733,"beasts,devils,monsters,supernatural",ok
an-embalmed-serpent-sent-by-the-venetians-to-king-francis__123fd004.jpg,123fd004-6e34-4013-bc50-a30f24db8ef3,An embalmed serpent sent by the Venetians to King Francis,,1559,2651,2926,"beasts,devils,monsters,serpents,supernatural",ok
the-devil-in-india__50798c69.jpg,50798c69-87e8-43da-a584-4dac1d2f378c,The Devil in India,Jörg Breu the Elder,1515,1576,1672,"beasts,devils,human-animal-hybrid,hybrid-figures,monsters,supernatural",ok
dreams__a6041d66.jpg,a6041d66-7ff6-4a6c-bd80-b207b5289841,Dreams,Aubrey Beardsley,1894,1882,2578,"dragons,grotesque,hybrid-figures,monsters",ok
unpublished-design__cfafee22.jpg,cfafee22-0192-48b9-bcc5-b97d7379ba9f,Unpublished design,Aubrey Beardsley,1894,2227,2047,"grotesque,hybrid-figures,monsters",ok
image-of-a-blemmyes__e28d20a0.jpg,e28d20a0-d4be-425b-9f66-4664d6d752ad,Image of a blemmyes,,ca. 1175–1200,625,722,"bestiary,monsters",ok
image-of-a-blemmyes__49a6c1c8.jpg,49a6c1c8-1ea1-4819-8a06-6dee48232225,Image of a blemmyes,,ca. 1250,1370,1941,"bestiary,monsters",ok
image-of-a-blemmyes__cd246621.jpg,cd246621-357c-4bb0-95fa-4f91e231e97f,Image of a blemmyes,,ca. 1260,700,672,"bestiary,monsters",ok
blemmyes-and-other-monsters__49ad4a35.jpg,49ad4a35-7735-4d4a-a72c-264b22fcb80d,Blemmyes and other “monsters”,,ca. 1277 or after,2321,3080,"bestiary,monsters",ok
image-of-blemmyes__31e9a124.jpg,31e9a124-1014-4cc5-b666-b82f40273207,Image of blemmyes,,ca. 1442–1448,1176,1727,"bestiary,human-animal-hybrid,monsters",ok
image-of-blemmyes__1e3b0b7d.jpg,1e3b0b7d-28ac-4c9c-b47a-d45831a9b6a6,Image of blemmyes,,ca. 1450–1475,3358,4287,"bestiary,monsters",ok
blemmyes-and-other-monsters__6a442538.jpg,6a442538-5da0-4415-b26e-1c9a7d30d353,Blemmyes and other “monsters”,,ca. 1475,1398,1190,"bestiary,human-animal-hybrid,monsters",ok
blemmyes-and-other-monsters__d179ecb4.jpg,d179ecb4-303b-4595-8369-f7d06c2fa43b,Blemmyes and other “monsters”,,1481,1680,2368,"bestiary,human-animal-hybrid,monsters",ok
image-of-blemmyes__d3e4b0d6.jpg,d3e4b0d6-3fdf-4eb2-8d57-37b50f05831c,Image of blemmyes,,1537,1134,1688,"bestiary,monsters",ok
blemmyes-and-other-monsters__3b1bae6a.jpg,3b1bae6a-8ded-4eb4-a092-63c5333c70c5,Blemmyes and other “monsters”,,1500,1682,1200,"bestiary,human-animal-hybrid,monsters",ok
blemmyes-and-dog-headed-beings__fa677efd.jpeg,fa677efd-fc23-4fba-adab-16632e029981,Blemmyes and dog-headed beings,,1553,1315,2114,"bestiary,human-animal-hybrid,monsters",ok
image-of-a-blemmyes__df1a9965.jpg,df1a9965-2f28-44be-a2f2-e5ac4f17b351,Image of a blemmyes,,1557,1370,1368,"bestiary,monsters",ok
image-of-a-blemmyes__1475e9ca.jpg,1475e9ca-a392-4167-a151-f21da80e32b7,Image of a blemmyes,,1557,1406,1374,"bestiary,monsters",ok
blemmyes-and-other-monsters__2df7ee58.jpg,2df7ee58-9f64-4e69-a47f-cef8b8248b9c,Blemmyes and other “monsters”,Adriaen Coenen,1577,2160,1564,"bestiary,human-animal-hybrid,monsters",ok
image-of-blemmyes__e195f262.jpeg,e195f262-4f54-472d-bf41-baa6f55661dd,Image of blemmyes,,ca. 1625–1650,1072,1374,"bestiary,monsters",ok
image-of-blemmyes__446f722b.jpg,446f722b-7b03-4200-b8ba-2fa1f7305e65,Image of blemmyes,,1642,2118,2451,"bestiary,monsters",ok
image-of-a-blemmyes__96f95644.jpg,96f95644-de63-45ce-b9ec-1de979bc8d06,Image of a blemmyes,,1653,755,872,"bestiary,monsters",ok
blemmyes-and-other-monsters__1013aef2.jpg,1013aef2-1057-4198-ba50-4e7672d375d9,Blemmyes and other “monsters”,,1665,2596,3520,"bestiary,human-animal-hybrid,monsters",ok
image-of-blemmyes__42d444e7.jpg,42d444e7-e9a9-4967-a007-479fade36afc,Image of blemmyes,,1665,1988,1428,"bestiary,monsters",ok
blemmyes-and-other-monsters__09a721de.jpg,09a721de-b54d-4191-a5d8-b8236f0a9b61,Blemmyes and other “monsters”,,1696,2207,3575,"bestiary,human-animal-hybrid,monsters",ok
image-of-a-blemmyes-among-humans__867bd753.jpg,867bd753-5fff-454b-88fa-1f9c5a758df3,Image of a blemmyes among humans,,1724,2152,2861,"bestiary,monsters",ok
sea-monsters-unmasked__ecb78978.jpg,ecb78978-0c80-4d2b-ac6e-3f20385c9195,Sea Monsters Unmasked,Henry Lee,1883,2448,4146,"monsters,sea-monsters,sea-serpents",ok
the-octopus-octopus-vulgaris__2bda5e89.jpg,2bda5e89-88c1-409a-9e77-e1498cae080c,The Octopus (Octopus vulgaris),Henry Lee,1883,3036,2259,"monsters,sea-monsters,sea-serpents",ok
fascimile-of-de-montfort-s-poulpe-colossal__5472449e.jpg,5472449e-e582-4ff6-9c56-cd50af9a9d4d,Fascimile of De Montfort's Poulpe colossal,Henry Lee,1883,1956,2968,"monsters,sea-monsters,sea-serpents",ok
gigantic-calamary-caught-by-the-french-despatch-vessel-alect__6548e941.jpg,6548e941-d517-4fbc-8457-db0b2c83908d,"Gigantic Calamary Caught by the French Despatch Vessel Alecton, Neear Teneriffe",Henry Lee,1883,2133,3231,"monsters,sea-monsters,sea-serpents",ok
head-and-tentacles-of-a-great-calamary-architeuthis-princeps__1c86a4da.jpg,1c86a4da-3775-4405-8625-e22085710d04,"Head and Tentacles of a Great Calamary (Architeuthis princeps) Taken in Logie Bay, Newfoundland, Nov. 1873",Henry Lee,1883,2084,2784,"monsters,sea-monsters,sea-serpents",ok
pontoppidan-s-sea-serpent__f5246747.jpg,f5246747-30c8-4f14-bba9-207388dceab7,Pontoppidan's Sea Serpent,Henry Lee,1883,856,3044,"monsters,sea-monsters,sea-serpents",ok
the-animal-draws-by-mr-bing-as-having-been-seen-by-hans-eged__7a9718f9.jpg,7a9718f9-a1d8-40d8-9890-6d1fed44ce46,The Animal Draws By Mr. Bing as Having Been Seen by Hans Egede,Henry Lee,1883,3515,2333,"monsters,sea-monsters,sea-serpents",ok
the-animal-which-egede-probably-saw__d1b36a60.jpg,d1b36a60-cc78-40fd-98d8-7c941fc4c425,The Animal Which Egede Probably Saw,Henry Lee,1883,2024,1796,"monsters,sea-monsters,sea-serpents",ok
the-sea-serpent-and-sperm-whale-as-seen-from-the-pauline__20c84c72.jpg,20c84c72-cc16-4861-bea2-e006b13ca82f,The Sea Serpent and Sperm Whale as Seen from the Pauline,Henry Lee,1883,3402,2051,"monsters,sea-monsters,sea-serpents",ok
sea-fables-explained__c4cf2332.jpg,c4cf2332-a387-4357-b1ae-acdf3e116bbf,Sea Fables Explained,Henry Lee,1883,1931,3174,"monsters,sea-monsters,sea-serpents",ok
fish-avatar-for-vishnu__f9638eac.jpg,f9638eac-381a-4f9a-adab-a3f9aa29efb4,Fish Avatar for Vishnu.,Henry Lee; Calmet and Maurice (after),1883,1184,3032,"human-animal-hybrid,monsters,sea-monsters,sea-serpents",ok
christian-symbol-from-the-catacombs-at-rome__d2389fea.jpg,d2389fea-25f8-4993-92c7-dd5b8cdcf342,Christian Symbol. From the Catacombs at Rome.,Henry Lee,1883,1860,720,"monsters,sea-monsters,sea-serpents",ok
mermaid-and-fishes-of-amboyna__abe2c360.jpg,abe2c360-9961-41dd-b2d9-2e4d1d85b894,Mermaid and fishes of Amboyna.,Henry Lee; Valentyn (after),1883,1908,1386,"human-animal-hybrid,monsters,sea-monsters,sea-serpents",ok
a-japanese-artificial-mermaid__fff22a93.jpg,fff22a93-683a-4754-a641-9cf883c529a0,A Japanese Artificial Mermaid.,Henry Lee,1883,1852,856,"human-animal-hybrid,monsters,sea-monsters",ok
an-artificial-mermaid-probably-japanese__62186771.jpg,62186771-5641-481f-9a38-b08b5927c8ed,"An Artificial Mermaid, Probably Japanese.",Henry Lee,1883,764,1640,"human-animal-hybrid,monsters,sea-monsters",ok
a-mermaid-from-a-japanese-picture__23e4fdff.jpg,23e4fdff-4e10-4d6a-b0de-d917909b29d1,A Mermaid. From a Japanese picture.,Henry Lee,1883,880,1152,"monsters,sea-monsters",ok
figure-of-an-octopus-on-a-gold-ornament-found-by-dr-schliema__f878f76e.jpg,f878f76e-caac-4f88-97d4-1cc9448b5a05,"Figure of an Octopus on a Gold Ornament, Found by Dr. Schliemann at Mycenae.",Henry Lee,1883,1796,1848,"monsters,sea-monsters",ok
golden-ornament-in-form-of-an-octopus-found-by-dr-schliemann__318461e7.jpg,318461e7-6560-4a68-a5c9-6a64eb4efcfd,"Golden Ornament in Form of an Octopus, Found by Dr. Schliemann at Mycenae.",Henry Lee,1883,1848,1284,"monsters,sea-monsters",ok
the-goose-tree-copied-from-gerard-s-herball-1st-edition__1f8fee53.jpg,1f8fee53-a61f-4f3a-b308-d5aa78284d09,"The Goose Tree. Copied from Gerard's Herball, 1st edition.",Henry Lee,1883,1920,2612,"animal-hybrid,monsters,sea-monsters",ok
development-of-barnacles-into-geese-after-aldrovandus__1f15acac.jpg,1f15acac-cd30-454d-9cea-7259797c402f,Development of Barnacles Into Geese. After Aldrovandus.,Aldrovandus (after); Henry Lee,1883,1950,1737,"animal-hybrid,monsters,sea-monsters",ok
